word,human_count,machine_count,human_rate,machine_rate,dominant_class,dominance_ratio,chi2,p_value,significant
ungathwali,0,6,0.0,0.000734,machine,inf,4.1908,0.040643,True
zomsebenzisi,0,10,0.0,0.001224,machine,inf,8.1457,0.004316,True
semigomo,0,5,0.0,0.000612,machine,inf,3.2191,0.072784,False
aphikisane,6,0,0.000731,0.0,human,inf,4.1456,0.041742,True
izokuvakasha,0,11,0.0,0.001346,machine,inf,9.1423,0.002498,True
kuniselwa,6,0,0.000731,0.0,human,inf,4.1456,0.041742,True
itiã,5,0,0.000609,0.0,human,inf,3.1829,0.074411,False
hlokegago,5,0,0.000609,0.0,human,inf,3.1829,0.074411,False
wemukelwe,7,0,0.000853,0.0,human,inf,5.118,0.023679,True
ngofeleba,10,0,0.001218,0.0,human,inf,8.0643,0.004514,True
kundawo,10,0,0.001218,0.0,human,inf,8.0643,0.004514,True
lehea,13,0,0.001584,0.0,human,inf,11.0316,0.000896,True
mboniso,0,5,0.0,0.000612,machine,inf,3.2191,0.072784,False
kuzinqumo,13,0,0.001584,0.0,human,inf,11.0316,0.000896,True
abangemuva,5,0,0.000609,0.0,human,inf,3.1829,0.074411,False
nokukhalima,11,0,0.00134,0.0,human,inf,9.0519,0.002624,True
anelele,0,6,0.0,0.000734,machine,inf,4.1908,0.040643,True
dilo,6,0,0.000731,0.0,human,inf,4.1456,0.041742,True
kwakheka,7,0,0.000853,0.0,human,inf,5.118,0.023679,True
aphinda,10,0,0.001218,0.0,human,inf,8.0643,0.004514,True
kwezishiyagalombili,0,7,0.0,0.000857,machine,inf,5.1722,0.022951,True
arbitration,0,13,0.0,0.001591,machine,inf,11.1401,0.000845,True
isiqaliso,104,0,0.012672,0.0,human,inf,102.1942,0.0,True
ukukhandleka,11,0,0.00134,0.0,human,inf,9.0519,0.002624,True
waphothulwa,0,7,0.0,0.000857,machine,inf,5.1722,0.022951,True
lomkhakha,33,0,0.004021,0.0,human,inf,30.9484,0.0,True
wamalayisense,0,12,0.0,0.001469,machine,inf,10.1406,0.00145,True
uthuthwa,9,0,0.001097,0.0,human,inf,7.0789,0.0078,True
njengokugcwele,0,6,0.0,0.000734,machine,inf,4.1908,0.040643,True
zizophinda,6,0,0.000731,0.0,human,inf,4.1456,0.041742,True
esiwombeni,17,0,0.002071,0.0,human,inf,15.0023,0.000107,True
xoxani,6,0,0.000731,0.0,human,inf,4.1456,0.041742,True
zesaziso,10,0,0.001218,0.0,human,inf,8.0643,0.004514,True
iyamahala,0,15,0.0,0.001836,machine,inf,13.1421,0.000289,True
ingeniswe,8,0,0.000975,0.0,human,inf,6.0964,0.013546,True
selivele,0,6,0.0,0.000734,machine,inf,4.1908,0.040643,True
uthokozise,0,16,0.0,0.001958,machine,inf,14.1443,0.000169,True
nakuzinhlangano,5,0,0.000609,0.0,human,inf,3.1829,0.074411,False
kumasayilo,6,0,0.000731,0.0,human,inf,4.1456,0.041742,True
eshoyo,6,0,0.000731,0.0,human,inf,4.1456,0.041742,True
